,pessoaID,solicitacaoID,historicoID,idadePessoa,salarioAnualPessoa,moradiaPessoa,tempoTrabalhoPessoa,motivoEmprestimo,pontuacaoEmprestimo,totalEmprestimo,taxaJuros,statusInadimplencia,comprometimentoRendaPorcentagem,pessoaInadimplente,tempoUltimaSolicitacaoCredito
0,cRItaaPB-pRvT,Ks4nz74P-z6Iq,hzAXqSDh-ay7Q,31.0,19968.0,Aluguel,1.0,Educativo,B,2500.0,9.62,1.0,0.13,N,6
1,Hbz9PtI3-tOFs,bFMFchcv-UwQW,PkBixMJ3-3bad,29.0,42000.0,Aluguel,4.0,Empreendimento ,G,1600.0,19.16,0.0,0.04,Y,6
2,iHar8HN7-1YkN,XqGa4BKn-WWe1,Sfj6mx0T-ixdS,21.0,45000.0,Aluguel,3.0,Pessoal,A,7200.0,9.38,0.0,0.16,N,4
3,y4pEWYBn-9PvH,2ZiNj6wr-h4jF,6PQh0Hls-oRmz,22.0,72000.0,Própria,1.0,Empreendimento ,B,15000.0,10.25,0.0,0.21,N,4
4,t2CLBwpX-nu1u,lBEvYQ0q-Ej3C,5tHsILdx-PNcQ,24.0,81600.0,Aluguel,5.0,Empreendimento ,C,8000.0,12.84,0.0,0.1,Y,2
5,cFzLou13-ir4E,jmmOa1kn-UuzN,rBpycq3y-N0Zk,23.0,20000.0,Aluguel,6.0,Pessoal,C,4000.0,12.23,0.0,0.2,Y,2
6,bYcJZ7cB-KHmQ,wUG9W3F2-wNUO,TraOHOpc-Lfs9,23.0,37460.0,Hipotecada,2.0,Educativo,C,7125.0,13.99,0.0,0.19,N,4
7,hTrxLBIi-7loA,HZxze8S1-yhAH,0nLNyfFC-IalR,38.0,40000.0,Aluguel,19.0,Empreendimento ,B,12000.0,10.59,0.0,0.3,N,11
8,vP3Axyrd-Yrij,1ZeY69ml-GGQu,OGTe8Gim-WaEX,26.0,48000.0,Hipotecada,10.0,Educativo,A,10000.0,7.74,0.0,0.21,N,2
9,L9LjxrcI-uMbB,lUJNWp9S-G0Zp,ehgZXA22-6Dic,22.0,110000.0,Aluguel,6.0,Médico,A,6400.0,9.32,0.0,0.06,N,4
10,QX2srHDP-ASDp,Ic2I0iqP-0JOX,vfpCil4Z-arhp,30.0,50000.0,Aluguel,3.0,Pessoal,C,10000.0,13.22,0.0,0.2,N,7
11,C8XTBmsW-09RH,nQvAjmPZ-T13r,wcJoMp4F-e77L,25.0,110000.0,Hipotecada,5.0,Empreendimento ,C,1200.0,13.49,0.0,0.01,N,4
12,bBQ5Z3rA-gKO8,GAHXYPMA-LS0k,NkOhYI4T-FjWf,49.0,70872.0,Hipotecada,4.0,Pagamento de débitos,D,15000.0,14.84,1.0,0.21,N,11
13,K2T3onFW-KuPO,t1G5RMhE-yG5N,IwFERD7d-kb6Z,41.0,24000.0,Aluguel,24.0,Pessoal,A,2000.0,7.75,1.0,0.08,N,17
14,JKhnQjdA-noFx,Q7LaxqMv-0JOu,hAUqxrmh-yE3L,49.0,23004.0,Aluguel,6.0,Pessoal,D,3250.0,15.21,0.0,0.14,N,12
15,jdCd3fkW-gLhB,puNBeL3u-9eKF,Y2HS8yac-ZARL,27.0,38250.0,Aluguel,1.0,Médico,A,5000.0,7.51,0.0,0.13,N,5
16,hYqWz1JD-8DF0,1Te9uLsm-kF7i,KgM36ft7-ZJIP,25.0,46000.0,Hipotecada,4.0,Educativo,C,2125.0,12.99,0.0,0.05,Y,2
17,uto7EjYb-NcHY,JOqoL9MH-eRsi,qXpnKwXw-TmEN,30.0,41604.0,Hipotecada,7.0,Empreendimento ,B,15000.0,10.0,0.0,0.36,N,9
18,NE7K2KQa-E9vE,lf738LuF-Jtne,Kl0Mgg6s-LZSW,24.0,36500.0,Hipotecada,3.0,Educativo,B,2500.0,10.37,0.0,0.07,N,3
19,1cOPf1qD-wFaf,Q9gpRLzs-elg5,w3Wj01jg-smjd,36.0,45344.0,Hipotecada,11.0,Educativo,A,16750.0,7.88,0.0,0.37,N,13
20,lwqlaSe9-hAYR,mW9tPtGN-hla1,ZgnE56yN-0X4S,56.0,90000.0,Hipotecada,0.0,Pessoal,A,7200.0,6.17,0.0,0.08,N,19
21,nMDA4Baq-1LNm,mB97UIG5-CYmY,3sRhK0dI-jm0y,33.0,58800.0,Aluguel,10.0,Médico,B,3000.0,11.49,0.0,0.05,N,9
22,vQeKi6jj-S7Mp,UTlIhe5Z-C3Rx,lxX6OwH3-4caY,28.0,90000.0,Hipotecada,12.0,Melhora do lar,C,5000.0,14.79,0.0,0.06,Y,8
23,qHiu42Bq-qdoc,fqiyuEYQ-5Qwz,XO8G8XF0-itEI,22.0,19200.0,Hipotecada,6.0,Melhora do lar,D,1400.0,14.91,1.0,0.07,Y,4
24,mr5kzNEs-CSqa,ecWSI5oO-s3lg,MyjDOZgv-m2Wl,23.0,45000.0,Aluguel,2.0,Empreendimento ,B,14500.0,10.36,1.0,0.32,N,4
25,OYzDCgwu-XpFP,Rao6sbJB-Clci,ChK3ARMs-TPPW,28.0,29496.0,Aluguel,8.0,Educativo,D,4500.0,14.11,0.0,0.15,Y,7
26,7UQ6hsHs-zsdL,5Psp57Sa-u1NJ,uaebCZid-s7rm,28.0,40000.0,Hipotecada,12.0,Melhora do lar,A,15000.0,5.99,0.0,0.38,N,9
27,jhEqMkih-frgu,CP6oLE3P-Hc8Y,sHBetnIk-dc5d,31.0,75000.0,Aluguel,4.0,Melhora do lar,A,18000.0,8.9,0.0,0.24,N,6
28,1PeK2HzO-5yF8,MHdhP3Qb-vKO3,DpOp6sLU-4Mw4,36.0,40000.0,Própria,2.0,Pessoal,A,5000.0,7.88,0.0,0.13,N,12
29,SgjsTf1I-1Xg8,icnPNWbr-zBW3,UTzTsGDd-aubE,21.0,32400.0,Aluguel,2.0,Empreendimento ,C,10000.0,13.23,1.0,0.31,Y,3
30,2TfQHQcU-cICJ,DWNlix8Z-HWTj,STsJSJqY-k0Ti,35.0,106369.0,Hipotecada,2.0,Empreendimento ,A,8325.0,6.99,0.0,0.08,N,10
31,z7O5S4LO-0Y5x,9DhHSBkb-oqps,smrhla6g-C6RO,24.0,65450.0,Hipotecada,8.0,Médico,D,5000.0,16.77,1.0,0.06,N,4
32,TjxqCrDv-JhDu,E6gzvzyr-U3RO,KW38u99x-DJwj,24.0,38400.0,Hipotecada,8.0,Melhora do lar,B,10000.0,10.99,0.0,0.26,N,2
33,oQyumKF2-388m,XQp4zIJY-N3Qp,DSjqjdi8-F6ph,26.0,39000.0,Aluguel,2.0,Educativo,A,8000.0,6.62,0.0,0.21,N,2
34,kzHFZjjM-UPe5,QtK9Y3KH-mJEM,hDzijmbP-jWYF,34.0,30000.0,Própria,0.0,Médico,A,6000.0,7.29,0.0,0.2,N,9
35,ICprTb6t-yPXf,5JiaDi9D-tg1l,1lafB6Nt-Yb9L,25.0,42000.0,Aluguel,3.0,Empreendimento ,A,18000.0,6.17,1.0,0.43,N,2
36,mt9FbU9Y-vdfk,a78If8dc-JsxC,8J9IGXTn-EguF,31.0,45000.0,Hipotecada,12.0,Pessoal,A,6000.0,9.32,0.0,0.13,N,9
37,g207752f-KPeq,OqBz0aLl-YKaZ,FSquHZqw-zJzf,24.0,48000.0,Hipotecada,3.0,Pagamento de débitos,B,4800.0,9.99,0.0,0.1,N,2
38,owohqlA3-IcuN,LdoMcLpI-vPY6,RaZHvBbg-BRwD,27.0,75000.0,Hipotecada,4.0,Pessoal,B,20150.0,11.36,0.0,0.27,N,6
